Sector  ROFFSET LOFFSET TPOFFSET(gloSyncBcidOffset) SegmentAdjust   GlobalInputPhase    GlobalInputOffset   gbtL1ddPhaseOffset
A01 135 135 95  2   4   3   15
A02 136 136 97  2   5   3   3
A03 136 136 96  2   2   3   4
A04 135 135 96  2   1   3   0
A05 133 133 95  0   4   3   0
A06 133 133 96  4   6   3   0
A07 133 133 96  3   4   3   0
A08 134 134 98  2   6   3   0
A09 132 132 97  3   7   3   0
A10 133 133 98  2   6   3   0
A11 133 134 96  3   6   3   15
A12 133 133 95  5   6   3   0
A13 134 134 96  3   3   3   12
A14 134 134 96  3   5   3   0
A15 134 134 95  3   4   3   12
A16 135 135 96  2   4   3   0
                            
C01 134 134 94  4   2   3   2
C02 134 134 95  3   7   3   13
C03 134 134 94  3   0   3   12
C04 134 134 96  3   6   3   14
C05 134 134 96  3   6   3   0
C06 134 134 96  3   0   3   13
C07 134 134 97  2   2   3   0
C08 134 134 98  2   5   3   0
C09 133 133 98  2   6   3   0
C10 133 133 98  3   5   3   0
C11 134 134 95  3   0   3   14
C12 134 134 97  3   1   3   0
C13 134 134 96  3   1   3   4
C14 134 134 96  3   1   3   0
C15 135 135 96  2   4   3   4
C16 134 134 95  3   2   3   0
